Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Horse-gram,2014,Rabi       ,Tamil Nadu,78131,57707,911.3,11794655.76,25783.23,0.735833333
Jowar,2014,Kharif     ,Tamil Nadu,235479,475144,911.3,35547909.84,77708.07,2.24125
Jowar,2014,Rabi       ,Tamil Nadu,179624,393796,911.3,27116039.04,59275.92,2.174
Maize,2014,Kharif     ,Tamil Nadu,191481,1663616,911.3,28905971.76,63188.73,8.406538462
Maize,2014,Rabi       ,Tamil Nadu,130471,984135,911.3,19695902.16,43055.43,7.637586207
Masoor,2014,Kharif     ,Tamil Nadu,72389,90950,911.3,10927843.44,23888.37,1.206333333
Moong(Green Gram),2014,Kharif     ,Tamil Nadu,28296,17906,911.3,4271564.16,9337.68,0.633076923
Moong(Green Gram),2014,Rabi       ,Tamil Nadu,201265,162820,911.3,30382964.4,66417.45,0.821
Onion,2014,Kharif     ,Tamil Nadu,11835,100221,911.3,1786611.6,3905.55,8.114074074
Onion,2014,Rabi       ,Tamil Nadu,16270,140110,911.3,2456119.2,5369.1,8.551111111
Potato,2014,Kharif     ,Tamil Nadu,3018,68463,911.3,455597.28,995.94,21.70833333
Potato,2014,Rabi       ,Tamil Nadu,1719,43468,911.3,259500.24,567.27,22.54
Ragi,2014,Kharif     ,Tamil Nadu,74309,223204,911.3,11217686.64,24521.97,3.029583333
Ragi,2014,Rabi       ,Tamil Nadu,30117,126424,911.3,4546462.32,9938.61,4.1516
Rapeseed &Mustard,2014,Rabi       ,Tamil Nadu,302,72,911.3,45589.92,99.66,0.161428571
Rice,2014,Kharif     ,Tamil Nadu,1794991,7949437,911.3,270971841.4,592347.03,4.730322581
Sesamum,2014,Kharif     ,Tamil Nadu,21289,13371,911.3,3213787.44,7025.37,0.559642857
Sesamum,2014,Rabi       ,Tamil Nadu,42953,31377,911.3,6484184.88,14174.49,0.7
Small millets,2014,Kharif     ,Tamil Nadu,20444,29892,911.3,3086226.24,6746.52,1.504090909
Small millets,2014,Rabi       ,Tamil Nadu,660,1385,911.3,99633.6,217.8,1.928
Sugarcane,2014,Whole Year ,Tamil Nadu,263066,28092784,911.3,39712443.36,86811.78,99.26033333
Sunflower,2014,Kharif     ,Tamil Nadu,2782,4214,911.3,419970.72,918.06,1.645833333
Sunflower,2014,Rabi       ,Tamil Nadu,6122,8327,911.3,924177.12,2020.26,1.4275
Sweet potato,2014,Whole Year ,Tamil Nadu,631,11094,911.3,95255.76,208.23,17.51894737
Tapioca,2014,Whole Year ,Tamil Nadu,87924,2851761,911.3,13273007.04,29014.92,35.751
Tobacco,2014,Whole Year ,Tamil Nadu,5478,8334,911.3,826958.88,1807.74,1.497
Turmeric,2014,Whole Year ,Tamil Nadu,26072,105002,911.3,3935829.12,8603.76,4.3492
Urad,2014,Kharif     ,Tamil Nadu,61525,50094,911.3,9287814,20303.25,0.825357143
Urad,2014,Rabi       ,Tamil Nadu,312257,308801,911.3,47138316.72,103044.81,0.946
Arecanut,2015,Kharif     ,Andhra Pradesh,516,1795,940.7,81481.56,170.28,3.32
Arhar/Tur,2015,Kharif     ,Andhra Pradesh,215323,128654,940.7,34001654.93,71056.59,0.579230769
Arhar/Tur,2015,Rabi       ,Andhra Pradesh,4995,3472,940.7,788760.45,1648.35,0.643
Bajra,2015,Kharif     ,Andhra Pradesh,33319,58890,940.7,5261403.29,10995.27,1.908181818
Bajra,2015,Rabi       ,Andhra Pradesh,3421,6133,940.7,540210.11,1128.93,1.978333333
Banana,2015,Whole Year ,Andhra Pradesh,59428,2322913,940.7,9384275.48,19611.24,39.59461538
Cashewnut,2015,Kharif     ,Andhra Pradesh,109823,40835,940.7,17342149.93,36241.59,0.379166667
Castor seed,2015,Kharif     ,Andhra Pradesh,48940,27592,940.7,7728115.4,16150.2,0.81125
Castor seed,2015,Rabi       ,Andhra Pradesh,1785,1226,940.7,281869.35,589.05,0.836
Coconut ,2015,Whole Year ,Andhra Pradesh,103948,1427745000,940.7,16414428.68,34302.84,12616.92333
Coriander,2015,Kharif     ,Andhra Pradesh,36,13,940.7,5684.76,11.88,0.396666667
Coriander,2015,Rabi       ,Andhra Pradesh,25302,10385,940.7,3995438.82,8349.66,0.4425
Cotton(lint),2015,Kharif     ,Andhra Pradesh,662671,1810621,940.7,104642377.6,218681.43,2.519230769
Cotton(lint),2015,Rabi       ,Andhra Pradesh,3394,6662,940.7,535946.54,1120.02,2.23
Cowpea(Lobia),2015,Kharif     ,Andhra Pradesh,11043,9696,940.7,1743800.13,3644.19,0.77125
Cowpea(Lobia),2015,Rabi       ,Andhra Pradesh,8003,6569,940.7,1263753.73,2640.99,0.513
Dry chillies,2015,Kharif     ,Andhra Pradesh,131693,516347,940.7,20795641.63,43458.69,3.815454545
Dry chillies,2015,Rabi       ,Andhra Pradesh,24362,102073,940.7,3847003.42,8039.46,3.588461538
Ginger,2015,Kharif     ,Andhra Pradesh,362,955,940.7,57163.42,119.46,2.802
Ginger,2015,Rabi       ,Andhra Pradesh,1,3,940.7,157.91,0.33,3
Gram,2015,Kharif     ,Andhra Pradesh,2,2,940.7,315.82,0.66,1
Gram,2015,Rabi       ,Andhra Pradesh,471129,499784,940.7,74395980.39,155472.57,1.478333333
Groundnut,2015,Kharif     ,Andhra Pradesh,682130,597783,940.7,107715148.3,225102.9,1.811538462
Groundnut,2015,Rabi       ,Andhra Pradesh,92588,202773,940.7,14620571.08,30554.04,2.593076923
Horse-gram,2015,Kharif     ,Andhra Pradesh,35190,10511,940.7,5556852.9,11612.7,0.363333333
Horse-gram,2015,Rabi       ,Andhra Pradesh,22577,11421,940.7,3565134.07,7450.41,0.5475
Jowar,2015,Kharif     ,Andhra Pradesh,44394,49280,940.7,7010256.54,14650.02,1.124166667
Jowar,2015,Rabi       ,Andhra Pradesh,130217,308430,940.7,20562566.47,42971.61,2.749090909
Linseed,2015,Kharif     ,Andhra Pradesh,259,125,940.7,40898.69,85.47,0.64
Maize,2015,Kharif     ,Andhra Pradesh,75017,276205,940.7,11845934.47,24755.61,3.876923077
Maize,2015,Rabi       ,Andhra Pradesh,157628,1135482,940.7,24891037.48,52017.24,5.915384615
Mesta,2015,Kharif     ,Andhra Pradesh,5355,44366,940.7,845608.05,1767.15,8.23
Mesta,2015,Rabi       ,Andhra Pradesh,15,140,940.7,2368.65,4.95,9.33
Moong(Green Gram),2015,Kharif     ,Andhra Pradesh,51600,18197,940.7,8148156,17028,0.550769231
Moong(Green Gram),2015,Rabi       ,Andhra Pradesh,159540,118722,940.7,25192961.4,52648.2,0.734615385
Niger seed,2015,Rabi       ,Andhra Pradesh,6685,2578,940.7,1055628.35,2206.05,0.445
Oilseeds total,2015,Kharif     ,Andhra Pradesh,849779,1945561,940.7,134188601.9,280427.07,5.453076923
Onion,2015,Kharif     ,Andhra Pradesh,33867,573224,940.7,5347937.97,11176.11,16.65909091
Onion,2015,Rabi       ,Andhra Pradesh,7375,122524,940.7,1164586.25,2433.75,14.99583333
Potato,2015,Kharif     ,Andhra Pradesh,574,7851,940.7,90640.34,189.42,7.96
Potato,2015,Rabi       ,Andhra Pradesh,1472,17105,940.7,232443.52,485.76,8.875
Ragi,2015,Kharif     ,Andhra Pradesh,26603,25402,940.7,4200879.73,8778.99,1.123333333
Ragi,2015,Rabi       ,Andhra Pradesh,4569,8572,940.7,721490.79,1507.77,1.757777778
Rapeseed &Mustard,2015,Kharif     ,Andhra Pradesh,10,7,940.7,1579.1,3.3,0.7
Rapeseed &Mustard,2015,Rabi       ,Andhra Pradesh,1426,764,940.7,225179.66,470.58,0.3975
Rice,2015,Kharif     ,Andhra Pradesh,1398884,4115558,940.7,220897772.4,461631.72,3.091538462
Rice,2015,Rabi       ,Andhra Pradesh,761911,3402713,940.7,120313366,251430.63,3.671538462
Safflower,2015,Rabi       ,Andhra Pradesh,304,212,940.7,48004.64,100.32,0.713333333
Sesamum,2015,Kharif     ,Andhra Pradesh,28065,5129,940.7,4431744.15,9261.45,0.2975
Sesamum,2015,Rabi       ,Andhra Pradesh,25066,9114,940.7,3958172.06,8271.78,0.37
Small millets,2015,Kharif     ,Andhra Pradesh,46696,42556,940.7,7373765.36,15409.68,0.703333333
Small millets,2015,Rabi       ,Andhra Pradesh,3930,4271,940.7,620586.3,1296.9,0.986
Soyabean,2015,Kharif     ,Andhra Pradesh,1210,1786,940.7,191071.1,399.3,1.45
Soyabean,2015,Rabi       ,Andhra Pradesh,66,107,940.7,10422.06,21.78,1.62
Sugarcane,2015,Whole Year ,Andhra Pradesh,121685,9353418,940.7,19215278.35,40156.05,85.06461538
Sunflower,2015,Kharif     ,Andhra Pradesh,6568,5165,940.7,1037152.88,2167.44,0.965
Sunflower,2015,Rabi       ,Andhra Pradesh,19725,18004,940.7,3114774.75,6509.25,0.9525
Sweet potato,2015,Kharif     ,Andhra Pradesh,135,1310,940.7,21317.85,44.55,11.0375
Sweet potato,2015,Rabi       ,Andhra Pradesh,457,5575,940.7,72164.87,150.81,11.82090909
Tapioca,2015,Kharif     ,Andhra Pradesh,8572,111270,940.7,1353604.52,2828.76,14.00333333
Tapioca,2015,Rabi       ,Andhra Pradesh,61,763,940.7,9632.51,20.13,11.06
Tobacco,2015,Kharif     ,Andhra Pradesh,19100,128256,940.7,3016081,6303,5.955263158
Tobacco,2015,Rabi       ,Andhra Pradesh,95687,214375,940.7,15109934.17,31576.71,3.359230769
Urad,2015,Kharif     ,Andhra Pradesh,44016,30921,940.7,6950566.56,14525.28,0.786153846
Urad,2015,Rabi       ,Andhra Pradesh,411586,379722,940.7,64993545.26,135823.38,0.8
Wheat,2015,Rabi       ,Andhra Pradesh,164,115,940.7,25897.24,54.12,0.696666667
Arecanut,2015,Kharif     ,Puducherry,55,83,1980.6,8685.05,18.15,1.51
Bajra,2015,Kharif     ,Puducherry,6,15,1980.6,947.46,1.98,2.5
Bajra,2015,Summer     ,Puducherry,1,2,1980.6,157.91,0.33,2
Banana,2015,Kharif     ,Puducherry,246,6235,1980.6,38845.86,81.18,15.98666667
Cashewnut,2015,Kharif     ,Puducherry,143,44,1980.6,22581.13,47.19,0.433333333
Coconut ,2015,Whole Year ,Puducherry,1941,28632000,1980.6,306503.31,640.53,12467.6075
Cotton(lint),2015,Kharif     ,Puducherry,118,271,1980.6,18633.38,38.94,1.795
Dry chillies,2015,Rabi       ,Puducherry,3,30,1980.6,473.73,0.99,10
Groundnut,2015,Kharif     ,Puducherry,5,11,1980.6,789.55,1.65,2.2
Groundnut,2015,Rabi       ,Puducherry,239,717,1980.6,37740.49,78.87,3
Groundnut,2015,Summer     ,Puducherry,55,165,1980.6,8685.05,18.15,3
Moong(Green Gram),2015,Rabi       ,Puducherry,9,10,1980.6,1421.19,2.97,1.11
Moong(Green Gram),2015,Summer     ,Puducherry,1039,330,1980.6,164068.49,342.87,0.59
Onion,2015,Summer     ,Puducherry,1,6,1980.6,157.91,0.33,6
Other  Rabi pulses,2015,Rabi       ,Puducherry,58,72,1980.6,9158.78,19.14,1.24
Other  Rabi pulses,2015,Summer     ,Puducherry,4,4,1980.6,631.64,1.32,1
Ragi,2015,Kharif     ,Puducherry,34,81,1980.6,5368.94,11.22,2.195
Rice,2015,Kharif     ,Puducherry,3817,12250,1980.6,602742.47,1259.61,2.273333333
Rice,2015,Rabi       ,Puducherry,8505,19587,1980.6,1343024.55,2806.65,2.47
Rice,2015,Summer     ,Puducherry,3941,12049,1980.6,622323.31,1300.53,2.225
Sesamum,2015,Kharif     ,Puducherry,3,2,1980.6,473.73,0.99,0.67
Sesamum,2015,Rabi       ,Puducherry,5,4,1980.6,789.55,1.65,0.8
Sesamum,2015,Summer     ,Puducherry,100,83,1980.6,15791,33,0.83
Small millets,2015,Kharif     ,Puducherry,8,13,1980.6,1263.28,2.64,1.63
Sugarcane,2015,Kharif     ,Puducherry,1821,213968,1980.6,287554.11,600.93,117.5
Sweet potato,2015,Kharif     ,Puducherry,5,73,1980.6,789.55,1.65,14.6
Sweet potato,2015,Rabi       ,Puducherry,3,34,1980.6,473.73,0.99,11.33
Tapioca,2015,Rabi       ,Puducherry,209,4388,1980.6,33003.19,68.97,30.17
Tobacco,2015,Rabi       ,Puducherry,209,4388,1980.6,33003.19,68.97,30.17
Turmeric,2015,Kharif     ,Puducherry,2,4,1980.6,315.82,0.66,2
Urad,2015,Kharif     ,Puducherry,72,38,1980.6,11369.52,23.76,0.625
Urad,2015,Rabi       ,Puducherry,206,245,1980.6,32529.46,67.98,1
Urad,2015,Summer     ,Puducherry,574,227,1980.6,90640.34,189.42,0.443333333
Arecanut,2015,Rabi       ,Assam,65102,55232,2155.3,10280256.82,21483.66,0.895185185
Arhar/Tur,2015,Kharif     ,Assam,6366,5600,2155.3,1005255.06,2100.78,0.868148148
Banana,2015,Whole Year ,Assam,51103,882706,2155.3,8069674.73,16863.99,16.6337037
Black pepper,2015,Whole Year ,Assam,3302,6025,2155.3,521418.82,1089.66,1.785925926
Castor seed,2015,Kharif     ,Assam,881,407,2155.3,139118.71,290.73,0.591538462
Coconut ,2015,Whole Year ,Assam,20602,154656000,2155.3,3253261.82,6798.66,7708.538889
Cotton(lint),2015,Kharif     ,Assam,921,439,2155.3,145435.11,303.93,0.536666667
Dry chillies,2015,Whole Year ,Assam,19929,17736,2155.3,3146988.39,6576.57,0.794814815
Ginger,2015,Whole Year ,Assam,16306,141441,2155.3,2574880.46,5380.98,8.173333333
Gram,2015,Rabi       ,Assam,2193,1544,2155.3,346296.63,723.69,0.649615385
Jute,2015,Kharif     ,Assam,72128,865805,2155.3,11389732.48,23802.24,11.72703704
Linseed,2015,Rabi       ,Assam,5272,3338,2155.3,832501.52,1739.76,0.599166667
Maize,2015,Kharif     ,Assam,28420,87175,2155.3,4487802.2,9378.6,2.514074074
Masoor,2015,Rabi       ,Assam,27180,19645,2155.3,4291993.8,8969.4,0.6864
Mesta,2015,Kharif     ,Assam,4304,28260,2155.3,679644.64,1420.32,6.224230769
Moong(Green Gram),2015,Rabi       ,Assam,10798,7310,2155.3,1705112.18,3563.34,0.648888889
Niger seed,2015,Kharif     ,Assam,6534,3949,2155.3,1031783.94,2156.22,0.551363636
Onion,2015,Whole Year ,Assam,8503,80339,2155.3,1342708.73,2805.99,6.916296296
Peas & beans (Pulses),2015,Rabi       ,Assam,28334,25441,2155.3,4474221.94,9350.22,0.902592593
Potato,2015,Whole Year ,Assam,103812,694002,2155.3,16392952.92,34257.96,6.482962963
Rapeseed &Mustard,2015,Rabi       ,Assam,285677,199501,2155.3,45111255.07,94273.41,0.647777778
Rice,2015,Autumn     ,Assam,191322,256729,2155.3,30211657.02,63136.26,1.398888889
Rice,2015,Summer     ,Assam,404982,1141336,2155.3,63950707.62,133644.06,2.488076923
Rice,2015,Winter     ,Assam,1888683,3727039,2155.3,298241932.5,623265.39,1.965925926
Sesamum,2015,Kharif     ,Assam,11770,7999,2155.3,1858600.7,3884.1,0.617407407
Small millets,2015,Kharif     ,Assam,6602,4447,2155.3,1042521.82,2178.66,0.6844
Sugarcane,2015,Whole Year ,Assam,29460,1038329,2155.3,4652028.6,9721.8,35.5662963
Sweet potato,2015,Whole Year ,Assam,5436,29339,2155.3,858398.76,1793.88,5.399259259
Tapioca,2015,Whole Year ,Assam,3177,29139,2155.3,501680.07,1048.41,8.456538462
Tobacco,2015,Whole Year ,Assam,243,125,2155.3,38372.13,80.19,0.631666667
Turmeric,2015,Whole Year ,Assam,16272,16184,2155.3,2569511.52,5369.76,0.97962963
Urad,2015,Rabi       ,Assam,51579,33941,2155.3,8144839.89,17021.07,0.667777778
Wheat,2015,Rabi       ,Assam,20975,24489,2155.3,3312162.25,6921.75,1.1756
Arecanut,2015,Rabi       ,Meghalaya,16965,26802,3870.8,2678943.15,5598.45,1.436363636
Arhar/Tur,2015,Kharif     ,Meghalaya,1153,1493,3870.8,182070.23,380.49,1.114
Banana,2015,Kharif     ,Meghalaya,7112,88709,3870.8,1123055.92,2346.96,10.28909091
Black pepper,2015,Rabi       ,Meghalaya,999,737,3870.8,157752.09,329.67,0.748181818
Cashewnut,2015,Rabi       ,Meghalaya,9498,18503,3870.8,1499829.18,3134.34,1.722
Castor seed,2015,Rabi       ,Meghalaya,72,65,3870.8,11369.52,23.76,1.004
Cotton(lint),2015,Kharif     ,Meghalaya,7295,8928,3870.8,1151953.45,2407.35,1.176
Cowpea(Lobia),2015,Rabi       ,Meghalaya,1637,2490,3870.8,258498.67,540.21,1.674545455
Dry chillies,2015,Whole Year ,Meghalaya,2292,2127,3870.8,361929.72,756.36,1.123636364
Ginger,2015,Kharif     ,Meghalaya,9911,65979,3870.8,1565046.01,3270.63,9.690909091
Gram,2015,Rabi       ,Meghalaya,1824,1932,3870.8,288027.84,601.92,1.07
Jute,2015,Kharif     ,Meghalaya,6659,68281,3870.8,1051522.69,2197.47,9.91
Linseed,2015,Rabi       ,Meghalaya,91,53,3870.8,14369.81,30.03,0.6
Maize,2015,Kharif     ,Meghalaya,18056,41242,3870.8,2851222.96,5958.48,2.24
Masoor,2015,Rabi       ,Meghalaya,1242,1370,3870.8,196124.22,409.86,1.412857143
Mesta,2015,Kharif     ,Meghalaya,4469,26263,3870.8,705699.79,1474.77,6.104
Onion,2015,Rabi       ,Meghalaya,521,4595,3870.8,82271.11,171.93,8.331
Peas & beans (Pulses),2015,Rabi       ,Meghalaya,2271,4432,3870.8,358613.61,749.43,1.810909091
Potato,2015,Summer     ,Meghalaya,12498,140311,3870.8,1973559.18,4124.34,8.179090909
Potato,2015,Winter     ,Meghalaya,6063,43505,3870.8,957408.33,2000.79,6.711818182
Rapeseed &Mustard,2015,Rabi       ,Meghalaya,9786,9466,3870.8,1545307.26,3229.38,0.953636364
Rice,2015,Autumn     ,Meghalaya,33136,77453,3870.8,5232505.76,10934.88,2.551818182
Rice,2015,Rabi       ,Meghalaya,13649,62901,3870.8,2155313.59,4504.17,2.557272727
Rice,2015,Winter     ,Meghalaya,63670,160722,3870.8,10054129.7,21011.1,2.347272727
Sesamum,2015,Rabi       ,Meghalaya,2234,2163,3870.8,352770.94,737.22,1.060909091
Small millets,2015,Rabi       ,Meghalaya,2906,2760,3870.8,458886.46,958.98,1.115
Soyabean,2015,Kharif     ,Meghalaya,1735,3439,3870.8,273973.85,572.55,2.27
Sugarcane,2015,Whole Year ,Meghalaya,117,356,3870.8,18475.47,38.61,2.7475
Sweet potato,2015,Kharif     ,Meghalaya,4549,16421,3870.8,718332.59,1501.17,3.741818182
Tapioca,2015,Kharif     ,Meghalaya,5414,33304,3870.8,854924.74,1786.62,7.021818182
Tobacco,2015,Rabi       ,Meghalaya,790,775,3870.8,124748.9,260.7,1.046666667
Turmeric,2015,Whole Year ,Meghalaya,2577,16324,3870.8,406934.07,850.41,6.138181818
Wheat,2015,Rabi       ,Meghalaya,448,875,3870.8,70743.68,147.84,1.646
Arecanut,2015,Whole Year ,Goa,1783,2960,2587.1,281553.53,588.39,1.665
Banana,2015,Whole Year ,Goa,2414,27302,2587.1,381194.74,796.62,11.315
Black pepper,2015,Whole Year ,Goa,783,258,2587.1,123643.53,258.39,0.325
Cashewnut,2015,Whole Year ,Goa,56609,17549,2587.1,8939127.19,18680.97,0.305
Coconut ,2015,Whole Year ,Goa,25818,129400000,2587.1,4076920.38,8519.94,5011.155
Groundnut,2015,Kharif     ,Goa,361,736,2587.1,57005.51,119.13,2.04
Groundnut,2015,Rabi       ,Goa,1537,3298,2587.1,242707.67,507.21,2.15
Other  Rabi pulses,2015,Rabi       ,Goa,6983,5882,2587.1,1102685.53,2304.39,0.835
Other Kharif pulses,2015,Kharif     ,Goa,171,128,2587.1,27002.61,56.43,0.735
Rice,2015,Kharif     ,Goa,27730,78489,2587.1,4378844.3,9150.9,2.83
Rice,2015,Rabi       ,Goa,13614,36579,2587.1,2149786.74,4492.62,2.76
Sugarcane,2015,Whole Year ,Goa,1139,58077,2587.1,179859.49,375.87,53.265
Arecanut,2015,Whole Year ,Karnataka,247927,2430194,1024.9,39150152.57,81815.91,10.21047619
Arhar/Tur,2015,Kharif     ,Karnataka,657354,241626,1024.9,103802770.1,216926.82,0.41962963
Bajra,2015,Kharif     ,Karnataka,163108,107157,1024.9,25756384.28,53825.64,0.674705882
Bajra,2015,Summer     ,Karnataka,3226,3579,1024.9,509417.66,1064.58,1.084
Black pepper,2015,Whole Year ,Karnataka,34990,26773,1024.9,5525270.9,11546.7,0.796
Cardamom,2015,Whole Year ,Karnataka,17660,1528,1024.9,2788690.6,5827.8,0.08
Cashewnut,2015,Whole Year ,Karnataka,64212,41601,1024.9,10139716.92,21189.96,0.8185
Castor seed,2015,Kharif     ,Karnataka,9347,4911,1024.9,1475984.77,3084.51,0.514
Coconut ,2015,Whole Year ,Karnataka,441100,3688825000,1024.9,69654101,145563,8706.411724
Coriander,2015,Whole Year ,Karnataka,4494,1927,1024.9,709647.54,1483.02,0.388636364
Cotton(lint),2015,Kharif     ,Karnataka,599083,1099880,1024.9,94601196.53,197697.39,1.961666667
Cotton(lint),2015,Rabi       ,Karnataka,41696,49826,1024.9,6584215.36,13759.68,1.213636364
Cotton(lint),2015,Summer     ,Karnataka,1105,2341,1024.9,174490.55,364.65,2.101428571
Cowpea(Lobia),2015,Kharif     ,Karnataka,67727,28064,1024.9,10694770.57,22349.91,0.431923077
Cowpea(Lobia),2015,Rabi       ,Karnataka,10778,4779,1024.9,1701953.98,3556.74,0.448571429
Cowpea(Lobia),2015,Summer     ,Karnataka,8036,2412,1024.9,1268964.76,2651.88,0.299166667
Dry chillies,2015,Kharif     ,Karnataka,88799,77057,1024.9,14022250.09,29303.67,1.017586207
Dry chillies,2015,Rabi       ,Karnataka,7744,15656,1024.9,1222855.04,2555.52,2.112592593
Dry chillies,2015,Summer     ,Karnataka,5747,10529,1024.9,907508.77,1896.51,1.8928
Garlic,2015,Whole Year ,Karnataka,4661,6276,1024.9,736018.51,1538.13,1.33875
Ginger,2015,Whole Year ,Karnataka,29285,1093397,1024.9,4624394.35,9664.05,36.35782609
Gram,2015,Rabi       ,Karnataka,1420431,552442,1024.9,224300259.2,468742.23,0.440384615
Groundnut,2015,Kharif     ,Karnataka,406076,273701,1024.9,64123461.16,134005.08,0.726071429
Groundnut,2015,Rabi       ,Karnataka,3646,6850,1024.9,575739.86,1203.18,1.88
Groundnut,2015,Summer     ,Karnataka,160363,114220,1024.9,25322921.33,52919.79,0.750434783
Horse-gram,2015,Kharif     ,Karnataka,53718,24923,1024.9,8482609.38,17726.94,0.4544
Horse-gram,2015,Rabi       ,Karnataka,112390,54360,1024.9,17747504.9,37088.7,0.461153846
Jowar,2015,Kharif     ,Karnataka,104738,119397,1024.9,16539177.58,34563.54,1.135789474
Jowar,2015,Rabi       ,Karnataka,993968,667336,1024.9,156957486.9,328009.44,0.7365
Jowar,2015,Summer     ,Karnataka,5201,10281,1024.9,821289.91,1716.33,1.904166667
Linseed,2015,Rabi       ,Karnataka,4961,600,1024.9,783391.51,1637.13,0.109333333
Maize,2015,Kharif     ,Karnataka,1091587,2982667,1024.9,172372503.2,360223.71,2.7225
Maize,2015,Rabi       ,Karnataka,103950,258320,1024.9,16414744.5,34303.5,2.544285714
Maize,2015,Summer     ,Karnataka,24754,69486,1024.9,3908904.14,8168.82,2.877407407
Mesta,2015,Whole Year ,Karnataka,766,1024,1024.9,120959.06,252.78,1.335
Moong(Green Gram),2015,Kharif     ,Karnataka,340527,40983,1024.9,53772618.57,112373.91,0.150416667
Moong(Green Gram),2015,Rabi       ,Karnataka,4972,1504,1024.9,785128.52,1640.76,0.292727273
Moong(Green Gram),2015,Summer     ,Karnataka,2939,929,1024.9,464097.49,969.87,0.285
Niger seed,2015,Kharif     ,Karnataka,7229,1853,1024.9,1141531.39,2385.57,0.260833333
Onion,2015,Kharif     ,Karnataka,173510,757715,1024.9,27398964.1,57258.3,4.7168
Onion,2015,Rabi       ,Karnataka,15694,88814,1024.9,2478239.54,5179.02,6.207083333
Onion,2015,Summer     ,Karnataka,6246,27006,1024.9,986305.86,2061.18,4.536666667
Other  Rabi pulses,2015,Rabi       ,Karnataka,11561,7316,1024.9,1825597.51,3815.13,0.624444444
Other Kharif pulses,2015,Kharif     ,Karnataka,51342,68617,1024.9,8107415.22,16942.86,1.2296
Potato,2015,Kharif     ,Karnataka,31633,126990,1024.9,4995167.03,10438.89,4.458333333
Potato,2015,Rabi       ,Karnataka,6029,90778,1024.9,952039.39,1989.57,14.405
Potato,2015,Summer     ,Karnataka,464,7517,1024.9,73270.24,153.12,15.74090909
Ragi,2015,Kharif     ,Karnataka,662355,1115223,1024.9,104592478.1,218577.15,1.5465
Ragi,2015,Rabi       ,Karnataka,36275,61289,1024.9,5728185.25,11970.75,1.665333333
Ragi,2015,Summer     ,Karnataka,7053,12058,1024.9,1113739.23,2327.49,1.741666667
Rapeseed &Mustard,2015,Kharif     ,Karnataka,1605,350,1024.9,253445.55,529.65,0.18875
Rice,2015,Kharif     ,Karnataka,977005,2641669,1024.9,154278859.5,322411.65,2.525666667
Rice,2015,Rabi       ,Karnataka,29329,71420,1024.9,4631342.39,9678.57,2.456428571
Rice,2015,Summer     ,Karnataka,103711,307524,1024.9,16377004.01,34224.63,2.785769231
Safflower,2015,Rabi       ,Karnataka,53833,21027,1024.9,8500769.03,17764.89,0.360714286
Sannhamp,2015,Whole Year ,Karnataka,113,27,1024.9,17843.83,37.29,0.233333333
Sesamum,2015,Kharif     ,Karnataka,50611,24450,1024.9,7991983.01,16701.63,0.4008
Small millets,2015,Kharif     ,Karnataka,28488,10507,1024.9,4498540.08,9401.04,0.41
Soyabean,2015,Kharif     ,Karnataka,257971,139890,1024.9,40736200.61,85130.43,0.692222222
Sugarcane,2015,Whole Year ,Karnataka,449586,36314129,1024.9,70994125.26,148363.38,85.546
Sunflower,2015,Kharif     ,Karnataka,125584,51251,1024.9,19830969.44,41442.72,0.4084
Sunflower,2015,Rabi       ,Karnataka,194166,60738,1024.9,30660753.06,64074.78,0.4605
Sunflower,2015,Summer     ,Karnataka,10573,8866,1024.9,1669582.43,3489.09,0.896428571
Sweet potato,2015,Whole Year ,Karnataka,3207,50994,1024.9,506417.37,1058.31,14.82866667
Tapioca,2015,Whole Year ,Karnataka,1277,9560,1024.9,201651.07,421.41,7.701818182
Turmeric,2015,Whole Year ,Karnataka,14994,76490,1024.9,2367702.54,4948.02,4.693888889
Urad,2015,Kharif     ,Karnataka,82234,20640,1024.9,12985570.94,27137.22,0.262380952
Urad,2015,Rabi       ,Karnataka,5240,2036,1024.9,827448.4,1729.2,0.362222222
Urad,2015,Summer     ,Karnataka,3911,1979,1024.9,617586.01,1290.63,0.485
Wheat,2015,Rabi       ,Karnataka,173856,128988,1024.9,27453600.96,57372.48,0.854285714
Arecanut,2015,Whole Year ,Kerala,99125.71,132452,2602.9,15652940.87,32711.4843,0.96
Arhar/Tur,2015,Whole Year ,Kerala,1431,1845,2602.9,225969.21,472.23,1.193333333
Banana,2015,Whole Year ,Kerala,59834.61,536155,2602.9,9448483.265,19745.4213,8.779285714
Black pepper,2015,Whole Year ,Kerala,85947.77,42132,2602.9,13572012.36,28362.7641,0.354285714
Cardamom,2015,Whole Year ,Kerala,39730,19500,2602.9,6273764.3,13110.9,0.138571429
Cashewnut,2015,Whole Year ,Kerala,43089.84,24733,2602.9,6804316.634,14219.6472,0.327857143
Coconut ,2015,Whole Year ,Kerala,790223,5873000000,2602.9,124784113.9,260773.59,6721.946429
Cotton(lint),2015,Kharif     ,Kerala,109,196,2602.9,17212.19,35.97,1.8
Garlic,2015,Whole Year ,Kerala,62,375,2602.9,9790.42,20.46,6.05
Ginger,2015,Whole Year ,Kerala,4986.01,22044,2602.9,787340.8391,1645.3833,3.549285714
